sequence,id,sourcePath,stem,curriculum,optionCount,correctOptionCount,missingExplanation,missingCitations,missingTags,unclassified
131,c91225f6-17e0-4e57-9ff0-c50f09feaf92,questions/c91225f6-17e0-4e57-9ff0-c50f09feaf92.json,Kid has put on a lot of weight since you last saw him. Best way to determine weight trajectory?,Unclassified,4,0,true,true,true,true
132,cb394d5b-f7e8-4022-a5a7-e4617d3ae8a1,questions/cb394d5b-f7e8-4022-a5a7-e4617d3ae8a1.json,A child has cleft palate and conotruncal defects. What is the likely diagnosis?,General Paediatrics,5,0,true,true,false,false
133,cc591147-67b7-475e-b4ca-933816c7cb5c,questions/cc591147-67b7-475e-b4ca-933816c7cb5c.json,"Boy 7 days, has bilateral hydronephrosis. What is the most likely cause:",Paediatric Surgery,5,0,true,true,false,false
134,cda136b1-ccca-43b7-b32c-cd5028d14736,questions/cda136b1-ccca-43b7-b32c-cd5028d14736.json,"Baby in the country, firm, red, tender lump in groin, not eating/drinking as much as normal, vomiting, some bowel changes. There is no paediatric surgeon in the town but he is coming tomorrow for a clinic. You have got IV access. What would you like to do next:",Paediatric Surgery,5,0,true,true,false,false
135,cdef8b4b-e36a-4cf6-9add-a62d3dfb2920,questions/cdef8b4b-e36a-4cf6-9add-a62d3dfb2920.json,"4 year old boy with a peanut allergy, has not had a reaction in the last 3 years. He comes to ED after eating a biscuit containing peanut. He has a tickly throat, cough, urticarial rash on face/body, angioedema, soft wheeze. But he is allergy and looking around. BP – 89/40, RR – 30. What is your initial management",Unclassified,5,0,true,true,true,true
136,d0800a51-4c8c-45ee-8a69-2e999b6fcafd,questions/d0800a51-4c8c-45ee-8a69-2e999b6fcafd.json,"1 year old child, febrile seizure when temperature reaches 39.5C. Dad wants to know how common febrile seizures are. What percentage of children will have at least one febrile seizure:",Emergency Paediatrics,5,0,true,true,false,false
137,d435ad95-0a49-419d-b3ed-d713759eb4c7,questions/d435ad95-0a49-419d-b3ed-d713759eb4c7.json,Compensation for anemia,Unclassified,5,0,true,true,true,true
138,d4df7bfe-f98a-4d2a-b04e-0177312f5551,questions/d4df7bfe-f98a-4d2a-b04e-0177312f5551.json,"Young infant brought in with seizure by mum. Supposedly fell off change table. When you plot Head circumference, it has shot up above 97th centile (had been tracking along 50th). What is the most likely cause:",Unclassified,5,0,true,true,true,true
139,d6475639-aa6b-4d93-bf8a-26d2d09d1c55,questions/d6475639-aa6b-4d93-bf8a-26d2d09d1c55.json,A 2 month old girl was burned by spilled coffee. Mum calls and is hysterical and you hear crying baby in background. What is your advice to her?,Unclassified,5,0,true,true,true,true
140,d6e140eb-d49a-4174-a614-b8590a816054,questions/d6e140eb-d49a-4174-a614-b8590a816054.json,Which is most likely to increase the risk of cyber bullying:,Unclassified,5,0,true,true,true,true
141,d733d977-bad3-4b51-a1e9-29ec8b8e7c6a,questions/d733d977-bad3-4b51-a1e9-29ec8b8e7c6a.json,Propranolol is used for migraine in kids. Which of the following is not a contraindication for propranolol use.,Paediatric Sub-specialties,5,0,true,true,false,false
142,dd385943-65b3-4e43-b2ab-dbfd85e77b22,questions/dd385943-65b3-4e43-b2ab-dbfd85e77b22.json,"15 year old girl, abdo pain, having sex (discloses when mum not in room). What do you need to do:",Unclassified,4,0,true,true,true,true
143,e040307e-82a8-4d2e-be69-935a1c4510b3,questions/e040307e-82a8-4d2e-be69-935a1c4510b3.json,Which aspect of a history of a seizure is most associated with an increased risk of a brain lesion?,Unclassified,5,0,true,true,true,true
144,e0e4b7c6-bc1a-4172-a0ca-de5f6a29bb70,questions/e0e4b7c6-bc1a-4172-a0ca-de5f6a29bb70.json,"Ear picture, what was arrow pointing to:",Unclassified,5,0,true,true,true,true
145,e4f3b10e-ac84-4cc8-9274-ad7399b4b5c4,questions/e4f3b10e-ac84-4cc8-9274-ad7399b4b5c4.json,"Correct interpretation of results – prophylactic ABx given for UTI, incidence of UTI was 19% in placebo group and 13% in experimental group",Unclassified,3,0,true,true,true,true
146,e53e9202-e1c8-4824-819d-8501798611ee,questions/e53e9202-e1c8-4824-819d-8501798611ee.json,"Kid with bucchal white spots, 2 days later developed blanchingrash on scalp spreading down to torso. Cause?",General Paediatrics,4,0,true,true,false,false
147,e91f4cdd-859c-4fa1-ad7e-66b10075fccf,questions/e91f4cdd-859c-4fa1-ad7e-66b10075fccf.json,Fluids,Unclassified,4,0,true,true,true,true
148,e9e27ac7-3947-493b-8137-de51053ee2f7,questions/e9e27ac7-3947-493b-8137-de51053ee2f7.json,What is the most accurate description of the information in the Australian Childhood immunisation registry,Community-based Paediatrics,4,0,true,true,false,false
149,ea6fd8ba-85dd-43f7-8a6e-4011aee8eb66,questions/ea6fd8ba-85dd-43f7-8a6e-4011aee8eb66.json,answers:,Unclassified,4,0,true,true,true,true
150,eaddd111-8d44-4ffb-8542-06c6416085c5,questions/eaddd111-8d44-4ffb-8542-06c6416085c5.json,Genetics,Unclassified,7,0,true,true,true,true
151,eca92c56-4b24-4e55-bfd2-400cc6fb1a27,questions/eca92c56-4b24-4e55-bfd2-400cc6fb1a27.json,SBAs,Unclassified,20,0,true,true,true,true
152,ecb8b696-2c04-4303-9b01-6d88c1ec9f34,questions/ecb8b696-2c04-4303-9b01-6d88c1ec9f34.json,child born – midwife calls you b/c concerned he’s trisomy 21. What are the features?,General Paediatrics,5,0,true,true,false,false
153,ed572cc2-5b1f-43d4-8a7b-413b676d4d8a,questions/ed572cc2-5b1f-43d4-8a7b-413b676d4d8a.json,"Kid hit by car 65km/hr, trauma, nonrebreather mask 10L, C spine collar, rigid backboard, GCS7, evidence of shock/hypotension. what’s first?",Emergency Paediatrics,4,0,true,true,false,false
154,ee2bbab1-7914-4b42-8d52-8b005c68950b,questions/ee2bbab1-7914-4b42-8d52-8b005c68950b.json,Pediatrics Q’s hospital day 2,Unclassified,7,0,true,true,true,true
155,ee5d6c64-3aa8-4855-a927-41d7c1ec92cc,questions/ee5d6c64-3aa8-4855-a927-41d7c1ec92cc.json,Teenagers will need to transfer from paediatric care to adult care. Which of the following factors is least important in transfer to adult care,Unclassified,3,0,true,true,true,true
156,ef72b8c3-7cb7-4363-b918-cecf85f23903,questions/ef72b8c3-7cb7-4363-b918-cecf85f23903.json,Developmental delay,General Paediatrics,7,0,true,true,false,false
157,f43e5afb-6420-466a-a2f3-9cbdbae86e8a,questions/f43e5afb-6420-466a-a2f3-9cbdbae86e8a.json,A 2week old baby has an episode of simple partial seizure lasting 2minutes. What investigations would you do?,Unclassified,5,0,true,true,true,true
158,f48161b2-8acc-4976-9cfd-d820e3666fa0,questions/f48161b2-8acc-4976-9cfd-d820e3666fa0.json,"They provide a bunch of random hospital guidelines on use of antibiotics, cant remember.",Unclassified,7,0,true,true,true,true
159,fad2907f-6902-4198-932a-afe2a6225bbe,questions/fad2907f-6902-4198-932a-afe2a6225bbe.json,SBAs,Unclassified,20,0,true,true,true,true
160,fb1c9855-211c-4c3b-8610-437e69b379fb,questions/fb1c9855-211c-4c3b-8610-437e69b379fb.json,"child loses 2 teeth, they find 1. what to do?",Unclassified,3,0,true,true,true,true
161,fb78012f-ec63-471e-bd72-90dcf6562225,questions/fb78012f-ec63-471e-bd72-90dcf6562225.json,http://www.rch.org.au/clinicalguide/cpg.cfm?doc_id=5185,Unclassified,11,0,true,true,true,true
162,fc908ad2-611d-43bd-aa7a-a53850c0febf,questions/fc908ad2-611d-43bd-aa7a-a53850c0febf.json,Paediatric Surgery,Paediatric Surgery,5,0,true,true,false,false
163,fcc63569-634a-4374-9e45-ca22466bf80c,questions/fcc63569-634a-4374-9e45-ca22466bf80c.json,"No idea really cant remember the blood results. Could be a traumatic tap, but there should be 400-500 RBC for every extra 1 WBC and 1000 RBC for every extra 0.01g/L protein. (RCH CSF guidelines). Viral meningitis is also possible.",Unclassified,12,0,true,true,true,true
164,fd8d12b2-0f5b-4062-8b7f-33c4de59610f,questions/fd8d12b2-0f5b-4062-8b7f-33c4de59610f.json,Vomiting in the older child,General Paediatrics,3,0,true,true,false,false
165,fd9a5ab8-06f9-4e12-8241-e4d2918b0f93,questions/fd9a5ab8-06f9-4e12-8241-e4d2918b0f93.json,Gram stains,Unclassified,8,0,true,true,true,true
166,ff1a41cf-ae24-4ace-8cce-748b037187b7,questions/ff1a41cf-ae24-4ace-8cce-748b037187b7.json,Testing for congenital hypothyroid – what are you looking for?,Paediatric Sub-specialties,5,0,true,true,false,false
167,ff9e5c7a-e14c-4870-9580-14634dc7d412,questions/ff9e5c7a-e14c-4870-9580-14634dc7d412.json,Developmental delay,General Paediatrics,7,0,true,true,false,false
168,fff504ab-e32e-430e-91f8-37f9530c2395,questions/fff504ab-e32e-430e-91f8-37f9530c2395.json,Gram stain,Unclassified,2,0,true,true,true,true
